Indicator,GeoAreaCode,GeoAreaName,TimePeriod,R&D proportion of GDP 
9.5.1,56,Belgium,2008,1.93684
9.5.1,56,Belgium,2009,1.9986
9.5.1,56,Belgium,2010,2.06188
9.5.1,56,Belgium,2011,2.17332
9.5.1,56,Belgium,2012,2.28114
9.5.1,56,Belgium,2013,2.33073
9.5.1,56,Belgium,2014,2.37002
9.5.1,56,Belgium,2015,2.42817
9.5.1,56,Belgium,2016,2.52252
9.5.1,56,Belgium,2017,2.66124
9.5.1,56,Belgium,2018,2.76578
9.5.1,60,Bermuda,2007,0.18397
9.5.1,60,Bermuda,2008,0.19247
9.5.1,60,Bermuda,2009,0.20903
9.5.1,60,Bermuda,2010,0.20846
9.5.1,60,Bermuda,2011,0.2979
9.5.1,60,Bermuda,2012,0.269
9.5.1,60,Bermuda,2013,0.22771
9.5.1,60,Bermuda,2014,0.21586
9.5.1,60,Bermuda,2015,0.22036
9.5.1,60,Bermuda,2018,0.25998
9.5.1,68,Bolivia (Plurinational State of),2000,0.28744
9.5.1,68,Bolivia (Plurinational State of),2001,0.29358
9.5.1,68,Bolivia (Plurinational State of),2002,0.27663
9.5.1,68,Bolivia (Plurinational State of),2009,0.157
9.5.1,70,Bosnia and Herzegovina,2003,0.01854
9.5.1,70,Bosnia and Herzegovina,2004,0.01524
9.5.1,70,Bosnia and Herzegovina,2005,0.02697
9.5.1,70,Bosnia and Herzegovina,2006,0.01969
9.5.1,70,Bosnia and Herzegovina,2007,0.02521
9.5.1,70,Bosnia and Herzegovina,2008,0.01842
9.5.1,70,Bosnia and Herzegovina,2009,0.02106
9.5.1,70,Bosnia and Herzegovina,2012,0.26533
9.5.1,70,Bosnia and Herzegovina,2013,0.32132
9.5.1,70,Bosnia and Herzegovina,2014,0.25725
9.5.1,70,Bosnia and Herzegovina,2015,0.2186
9.5.1,70,Bosnia and Herzegovina,2016,0.21594
9.5.1,70,Bosnia and Herzegovina,2017,0.20048
9.5.1,70,Bosnia and Herzegovina,2018,0.19485
9.5.1,72,Botswana,2005,0.53286
9.5.1,72,Botswana,2012,0.2588
9.5.1,72,Botswana,2013,0.53728
9.5.1,76,Brazil,2000,1.04751
9.5.1,76,Brazil,2001,1.06198
9.5.1,76,Brazil,2002,1.00968
9.5.1,76,Brazil,2003,0.99939
9.5.1,76,Brazil,2004,0.96343
9.5.1,76,Brazil,2005,1.00246
9.5.1,76,Brazil,2006,0.98807
9.5.1,76,Brazil,2007,1.08138
9.5.1,76,Brazil,2008,1.12904
9.5.1,76,Brazil,2009,1.11866
9.5.1,76,Brazil,2010,1.15992
9.5.1,76,Brazil,2011,1.13966
9.5.1,76,Brazil,2012,1.12684
9.5.1,76,Brazil,2013,1.19567
9.5.1,76,Brazil,2014,1.27131
9.5.1,76,Brazil,2015,1.34264
9.5.1,76,Brazil,2016,1.26343
9.5.1,76,Brazil,2017,1.09392
9.5.1,76,Brazil,2018,1.16038
9.5.1,96,Brunei Darussalam,2002,0.01592
9.5.1,96,Brunei Darussalam,2003,0.01842
9.5.1,96,Brunei Darussalam,2004,0.03701
9.5.1,96,Brunei Darussalam,2018,0.27763
9.5.1,100,Bulgaria,2000,0.49517
9.5.1,100,Bulgaria,2001,0.44709
9.5.1,100,Bulgaria,2002,0.46473
9.5.1,100,Bulgaria,2003,0.47222
9.5.1,100,Bulgaria,2004,0.47086
9.5.1,100,Bulgaria,2005,0.44269
9.5.1,100,Bulgaria,2006,0.44216
9.5.1,100,Bulgaria,2007,0.4303
9.5.1,100,Bulgaria,2008,0.44766
9.5.1,100,Bulgaria,2009,0.49361
9.5.1,100,Bulgaria,2010,0.56663
9.5.1,100,Bulgaria,2011,0.53242
9.5.1,100,Bulgaria,2012,0.60355
9.5.1,100,Bulgaria,2013,0.63682
9.5.1,100,Bulgaria,2014,0.79281
9.5.1,100,Bulgaria,2015,0.95201
9.5.1,100,Bulgaria,2016,0.77217
9.5.1,100,Bulgaria,2017,0.74308
9.5.1,100,Bulgaria,2018,0.75565
9.5.1,104,Myanmar,2000,0.11306
9.5.1,104,Myanmar,2001,0.07144
9.5.1,104,Myanmar,2002,0.16216
9.5.1,104,Myanmar,2017,0.03105
9.5.1,108,Burundi,2007,0.20068
9.5.1,108,Burundi,2008,0.15417
9.5.1,108,Burundi,2009,0.14096
9.5.1,108,Burundi,2010,0.13719
9.5.1,108,Burundi,2012,0.10702
9.5.1,108,Burundi,2018,0.21312
9.5.1,112,Belarus,2000,0.7221
9.5.1,112,Belarus,2001,0.70876
9.5.1,112,Belarus,2002,0.6209
9.5.1,112,Belarus,2003,0.61147
9.5.1,112,Belarus,2004,0.62759
9.5.1,112,Belarus,2005,0.67852
9.5.1,112,Belarus,2006,0.66065
9.5.1,112,Belarus,2007,0.96203
9.5.1,112,Belarus,2008,0.74147
9.5.1,112,Belarus,2009,0.62167
9.5.1,112,Belarus,2010,0.66913
9.5.1,112,Belarus,2011,0.6776
9.5.1,112,Belarus,2012,0.64603
9.5.1,112,Belarus,2013,0.65191
9.5.1,112,Belarus,2014,0.50548
9.5.1,112,Belarus,2015,0.49999
9.5.1,112,Belarus,2016,0.50063
9.5.1,112,Belarus,2017,0.58411
9.5.1,112,Belarus,2018,0.60443
9.5.1,116,Cambodia,2002,0.0498
9.5.1,116,Cambodia,2015,0.11823
9.5.1,124,Canada,2000,1.86469
9.5.1,124,Canada,2001,2.02831
9.5.1,124,Canada,2002,1.97873
9.5.1,124,Canada,2003,1.97478
9.5.1,124,Canada,2004,2.00416
9.5.1,124,Canada,2005,1.97759
9.5.1,124,Canada,2006,1.94872
9.5.1,124,Canada,2007,1.90857
9.5.1,124,Canada,2008,1.8604
9.5.1,124,Canada,2009,1.92227
9.5.1,124,Canada,2010,1.82958
9.5.1,124,Canada,2011,1.79132
9.5.1,124,Canada,2012,1.77232
9.5.1,124,Canada,2013,1.7054
9.5.1,124,Canada,2014,1.71417
9.5.1,124,Canada,2015,1.69324
9.5.1,124,Canada,2016,1.72873
9.5.1,124,Canada,2017,1.66886
9.5.1,124,Canada,2018,1.56287
9.5.1,124,Canada,2019,1.54266
9.5.1,132,Cabo Verde,2011,0.07264
9.5.1,144,Sri Lanka,2000,0.14392
9.5.1,144,Sri Lanka,2004,0.1821
9.5.1,144,Sri Lanka,2006,0.1742
9.5.1,144,Sri Lanka,2008,0.11444
9.5.1,144,Sri Lanka,2010,0.13687
9.5.1,144,Sri Lanka,2013,0.10081
9.5.1,144,Sri Lanka,2014,0.09989
9.5.1,144,Sri Lanka,2015,0.10871
9.5.1,144,Sri Lanka,2016,0.12854
9.5.1,144,Sri Lanka,2017,0.12758
9.5.1,148,Chad,2016,0.3005
9.5.1,152,Chile,2007,0.30957
9.5.1,152,Chile,2008,0.37497
9.5.1,152,Chile,2009,0.35202
9.5.1,152,Chile,2010,0.32947
9.5.1,152,Chile,2011,0.35144
9.5.1,152,Chile,2012,0.3622
9.5.1,152,Chile,2013,0.3887
9.5.1,152,Chile,2014,0.37503
9.5.1,152,Chile,2015,0.38073
9.5.1,152,Chile,2016,0.36934
9.5.1,152,Chile,2017,0.35608
9.5.1,156,China,2000,0.89316
9.5.1,156,China,2001,0.94033
9.5.1,156,China,2002,1.05786
9.5.1,156,China,2003,1.12037
9.5.1,156,China,2004,1.21498
9.5.1,156,China,2005,1.30792
9.5.1,156,China,2006,1.36854
9.5.1,156,China,2007,1.37369
9.5.1,156,China,2008,1.44592
9.5.1,156,China,2009,1.6648
9.5.1,156,China,2010,1.71372
9.5.1,156,China,2011,1.78034
9.5.1,156,China,2012,1.91214
9.5.1,156,China,2013,1.99786
9.5.1,156,China,2014,2.02243
9.5.1,156,China,2015,2.05701
9.5.1,156,China,2016,2.10033
9.5.1,156,China,2017,2.11603
9.5.1,156,China,2018,2.14058
9.5.1,170,Colombia,2000,0.12999
9.5.1,170,Colombia,2001,0.13183
9.5.1,170,Colombia,2002,0.13944
9.5.1,170,Colombia,2003,0.15602
9.5.1,170,Colombia,2004,0.15353
9.5.1,170,Colombia,2005,0.15086
9.5.1,170,Colombia,2006,0.1495
9.5.1,170,Colombia,2007,0.18455
9.5.1,170,Colombia,2008,0.20125
9.5.1,170,Colombia,2009,0.19608
9.5.1,170,Colombia,2010,0.19501
9.5.1,170,Colombia,2011,0.20595
9.5.1,170,Colombia,2012,0.23378
9.5.1,170,Colombia,2013,0.27111
9.5.1,170,Colombia,2014,0.30563
9.5.1,170,Colombia,2015,0.28975
9.5.1,170,Colombia,2016,0.26694
9.5.1,170,Colombia,2017,0.24286
9.5.1,170,Colombia,2018,0.23462
9.5.1,180,Democratic Republic of the Congo,2004,0.26777
9.5.1,180,Democratic Republic of the Congo,2005,0.05799
9.5.1,180,Democratic Republic of the Congo,2006,0.06044
9.5.1,180,Democratic Republic of the Congo,2007,0.13609
9.5.1,180,Democratic Republic of the Congo,2008,0.08253
9.5.1,180,Democratic Republic of the Congo,2009,0.07822
9.5.1,180,Democratic Republic of the Congo,2015,0.40638
9.5.1,188,Costa Rica,2000,0.41311
9.5.1,188,Costa Rica,2003,0.36349
9.5.1,188,Costa Rica,2004,0.37452
9.5.1,188,Costa Rica,2006,0.42906
9.5.1,188,Costa Rica,2007,0.35842
9.5.1,188,Costa Rica,2008,0.38831
9.5.1,188,Costa Rica,2009,0.52028
9.5.1,188,Costa Rica,2010,0.48492
9.5.1,188,Costa Rica,2011,0.46782
9.5.1,188,Costa Rica,2012,0.55606
9.5.1,188,Costa Rica,2013,0.55567
9.5.1,188,Costa Rica,2014,0.57209
9.5.1,188,Costa Rica,2015,0.44993
9.5.1,188,Costa Rica,2016,0.45645
9.5.1,188,Costa Rica,2017,0.44068
9.5.1,188,Costa Rica,2018,0.38288
9.5.1,191,Croatia,2000,1.04916
9.5.1,191,Croatia,2001,0.92079
9.5.1,191,Croatia,2002,0.95033
9.5.1,191,Croatia,2003,0.94981
9.5.1,191,Croatia,2004,1.03031
9.5.1,191,Croatia,2005,0.85614
9.5.1,191,Croatia,2006,0.74007
9.5.1,191,Croatia,2007,0.79107
9.5.1,191,Croatia,2008,0.88656
9.5.1,191,Croatia,2009,0.84474
9.5.1,191,Croatia,2010,0.74292
9.5.1,191,Croatia,2011,0.75095
9.5.1,191,Croatia,2012,0.75101
9.5.1,191,Croatia,2013,0.81157
9.5.1,191,Croatia,2014,0.78306
9.5.1,191,Croatia,2015,0.84007
9.5.1,191,Croatia,2016,0.86314
9.5.1,191,Croatia,2017,0.86266
9.5.1,191,Croatia,2018,0.97192
9.5.1,192,Cuba,2000,0.47865
9.5.1,192,Cuba,2001,0.5653
9.5.1,192,Cuba,2002,0.56445
9.5.1,192,Cuba,2003,0.58243
9.5.1,192,Cuba,2004,0.60231
9.5.1,192,Cuba,2005,0.5492
9.5.1,192,Cuba,2006,0.44139
9.5.1,192,Cuba,2007,0.43615
9.5.1,192,Cuba,2008,0.50061
9.5.1,192,Cuba,2009,0.61485
9.5.1,192,Cuba,2010,0.60767
9.5.1,192,Cuba,2011,0.27192
9.5.1,192,Cuba,2012,0.40716
9.5.1,192,Cuba,2013,0.47467
9.5.1,192,Cuba,2014,0.41596
9.5.1,192,Cuba,2015,0.42854
9.5.1,192,Cuba,2016,0.34223
9.5.1,192,Cuba,2017,0.43066
9.5.1,192,Cuba,2018,0.53706
9.5.1,196,Cyprus,2000,0.2269
9.5.1,196,Cyprus,2001,0.23694
9.5.1,196,Cyprus,2002,0.27967
9.5.1,196,Cyprus,2003,0.31834
9.5.1,196,Cyprus,2004,0.33564
9.5.1,196,Cyprus,2005,0.36727
9.5.1,196,Cyprus,2006,0.38346
9.5.1,196,Cyprus,2007,0.40007
9.5.1,196,Cyprus,2008,0.38594
9.5.1,196,Cyprus,2009,0.44437
9.5.1,196,Cyprus,2010,0.44409
9.5.1,196,Cyprus,2011,0.45389
9.5.1,196,Cyprus,2012,0.43888
9.5.1,196,Cyprus,2013,0.48607
9.5.1,196,Cyprus,2014,0.51424
9.5.1,196,Cyprus,2015,0.47841
9.5.1,196,Cyprus,2016,0.52358
9.5.1,196,Cyprus,2017,0.54998
9.5.1,196,Cyprus,2018,0.54783
9.5.1,203,Czechia,2000,1.11319
9.5.1,203,Czechia,2001,1.10333
9.5.1,203,Czechia,2002,1.10202
9.5.1,203,Czechia,2003,1.14741
9.5.1,203,Czechia,2004,1.14559
9.5.1,203,Czechia,2005,1.16835
9.5.1,203,Czechia,2006,1.23173
9.5.1,203,Czechia,2007,1.30228
9.5.1,203,Czechia,2008,1.23933
9.5.1,203,Czechia,2009,1.29438
9.5.1,203,Czechia,2010,1.33688
9.5.1,203,Czechia,2011,1.55571
9.5.1,203,Czechia,2012,1.78231
9.5.1,203,Czechia,2013,1.89973
9.5.1,203,Czechia,2014,1.97285
9.5.1,203,Czechia,2015,1.92923
9.5.1,203,Czechia,2016,1.68015
9.5.1,203,Czechia,2017,1.79079
9.5.1,203,Czechia,2018,1.93017
9.5.1,208,Denmark,2001,2.32466
9.5.1,208,Denmark,2002,2.44145
9.5.1,208,Denmark,2003,2.51085
9.5.1,208,Denmark,2004,2.41916
9.5.1,208,Denmark,2005,2.39337
9.5.1,208,Denmark,2006,2.403
9.5.1,208,Denmark,2007,2.51541
9.5.1,208,Denmark,2008,2.77346
9.5.1,208,Denmark,2009,3.05514
9.5.1,208,Denmark,2010,2.91707
9.5.1,208,Denmark,2011,2.94465
9.5.1,208,Denmark,2012,2.98125
9.5.1,208,Denmark,2013,2.97048
9.5.1,208,Denmark,2014,2.91409
9.5.1,208,Denmark,2015,3.05497
9.5.1,208,Denmark,2016,3.09283
9.5.1,208,Denmark,2017,3.05015
9.5.1,208,Denmark,2018,3.03292
9.5.1,218,Ecuador,2001,0.0515
9.5.1,218,Ecuador,2002,0.05534
9.5.1,218,Ecuador,2003,0.05735
9.5.1,218,Ecuador,2006,0.12863
9.5.1,218,Ecuador,2007,0.13194
9.5.1,218,Ecuador,2008,0.22779
9.5.1,218,Ecuador,2009,0.39463
9.5.1,218,Ecuador,2010,0.40297
9.5.1,218,Ecuador,2011,0.33991
9.5.1,218,Ecuador,2012,0.33236
9.5.1,218,Ecuador,2013,0.3799
9.5.1,218,Ecuador,2014,0.44266
9.5.1,222,El Salvador,2007,0.1056
9.5.1,222,El Salvador,2008,0.13399
9.5.1,222,El Salvador,2009,0.0909
9.5.1,222,El Salvador,2010,0.07806
9.5.1,222,El Salvador,2011,0.0355
9.5.1,222,El Salvador,2012,0.03397
9.5.1,222,El Salvador,2013,0.06387
9.5.1,222,El Salvador,2014,0.09377
9.5.1,222,El Salvador,2015,0.14348
9.5.1,222,El Salvador,2016,0.14493
9.5.1,222,El Salvador,2017,0.18078
9.5.1,222,El Salvador,2018,0.1647
9.5.1,231,Ethiopia,2005,0.17917
9.5.1,231,Ethiopia,2007,0.17089
9.5.1,231,Ethiopia,2010,0.24137
9.5.1,231,Ethiopia,2013,0.60474
9.5.1,231,Ethiopia,2017,0.27437
9.5.1,233,Estonia,2000,0.59921
9.5.1,233,Estonia,2001,0.69788
9.5.1,233,Estonia,2002,0.7116
9.5.1,233,Estonia,2003,0.76437
9.5.1,233,Estonia,2004,0.84595
9.5.1,233,Estonia,2005,0.9176
9.5.1,233,Estonia,2006,1.11346
9.5.1,233,Estonia,2007,1.05891
9.5.1,233,Estonia,2008,1.25036
9.5.1,233,Estonia,2009,1.38894
9.5.1,233,Estonia,2010,1.56628
9.5.1,233,Estonia,2011,2.28473
9.5.1,233,Estonia,2012,2.10903
9.5.1,233,Estonia,2013,1.71302
9.5.1,233,Estonia,2014,1.42089
9.5.1,233,Estonia,2015,1.45685
9.5.1,233,Estonia,2016,1.24617
9.5.1,233,Estonia,2017,1.27996
9.5.1,233,Estonia,2018,1.40441
9.5.1,234,Faroe Islands,2003,0.85705
9.5.1,246,Finland,2000,3.24138
9.5.1,246,Finland,2001,3.19372
9.5.1,246,Finland,2002,3.25308
9.5.1,246,Finland,2003,3.29822
9.5.1,246,Finland,2004,3.30907
9.5.1,246,Finland,2005,3.3237
9.5.1,246,Finland,2006,3.33215
9.5.1,246,Finland,2007,3.33704
9.5.1,246,Finland,2008,3.53697
9.5.1,246,Finland,2009,3.73402
9.5.1,246,Finland,2010,3.70532
9.5.1,246,Finland,2011,3.61806
9.5.1,246,Finland,2012,3.39832
9.5.1,246,Finland,2013,3.27137
9.5.1,246,Finland,2014,3.14751
9.5.1,246,Finland,2015,2.87196
9.5.1,246,Finland,2016,2.72442
9.5.1,246,Finland,2017,2.73349
9.5.1,246,Finland,2018,2.75572
9.5.1,250,France,2000,2.09346
9.5.1,250,France,2001,2.13804
9.5.1,250,France,2002,2.17449
9.5.1,250,France,2003,2.11994
9.5.1,250,France,2004,2.09461
9.5.1,250,France,2005,2.05151
9.5.1,250,France,2006,2.05094
9.5.1,250,France,2007,2.02451
9.5.1,250,France,2008,2.06117
9.5.1,250,France,2009,2.21207
9.5.1,250,France,2010,2.17857
9.5.1,250,France,2011,2.19161
9.5.1,250,France,2012,2.22707
9.5.1,250,France,2013,2.23703
9.5.1,250,France,2014,2.27592
9.5.1,250,France,2015,2.26703
9.5.1,250,France,2016,2.22238
9.5.1,250,France,2017,2.20348
9.5.1,250,France,2018,2.19294
9.5.1,266,Gabon,2007,0.41633
9.5.1,266,Gabon,2008,0.5109
9.5.1,266,Gabon,2009,0.57924
9.5.1,268,Georgia,2000,0.2153
9.5.1,268,Georgia,2001,0.23848
9.5.1,268,Georgia,2002,0.18574
9.5.1,268,Georgia,2003,0.2176
9.5.1,268,Georgia,2004,0.2442
9.5.1,268,Georgia,2005,0.17658
9.5.1,268,Georgia,2013,0.07856
9.5.1,268,Georgia,2014,0.17318
9.5.1,268,Georgia,2015,0.29928
9.5.1,268,Georgia,2016,0.28586
9.5.1,268,Georgia,2017,0.27023
9.5.1,268,Georgia,2018,0.28052
9.5.1,270,Gambia,2008,0.01261
9.5.1,270,Gambia,2009,0.01086
9.5.1,270,Gambia,2011,0.0848
9.5.1,270,Gambia,2018,0.07093
9.5.1,275,State of Palestine,2007,0.20833
9.5.1,275,State of Palestine,2008,0.16338
9.5.1,275,State of Palestine,2009,0.39655
9.5.1,275,State of Palestine,2010,0.39273
9.5.1,275,State of Palestine,2013,0.4922
9.5.1,276,Germany,2000,2.40982
9.5.1,276,Germany,2001,2.40437
9.5.1,276,Germany,2002,2.43622
9.5.1,276,Germany,2003,2.47461
9.5.1,276,Germany,2004,2.43519
9.5.1,276,Germany,2005,2.44193
9.5.1,276,Germany,2006,2.47232
9.5.1,276,Germany,2007,2.46048
9.5.1,276,Germany,2008,2.61513
9.5.1,276,Germany,2009,2.74266
9.5.1,276,Germany,2010,2.73024
9.5.1,276,Germany,2011,2.80555
9.5.1,276,Germany,2012,2.88166
9.5.1,276,Germany,2013,2.83599
9.5.1,276,Germany,2014,2.87784
9.5.1,276,Germany,2015,2.93003
9.5.1,276,Germany,2016,2.94099
9.5.1,276,Germany,2017,3.06792
9.5.1,276,Germany,2018,3.13267
9.5.1,288,Ghana,2007,0.23157
9.5.1,288,Ghana,2010,0.37655
9.5.1,300,Greece,2001,0.55948
9.5.1,300,Greece,2003,0.54654
9.5.1,300,Greece,2004,0.5273
9.5.1,300,Greece,2005,0.57896
9.5.1,300,Greece,2006,0.56118
9.5.1,300,Greece,2007,0.57655
9.5.1,300,Greece,2008,0.66183
9.5.1,300,Greece,2009,0.62557
9.5.1,300,Greece,2010,0.59838
9.5.1,300,Greece,2011,0.67196
9.5.1,300,Greece,2012,0.69957
9.5.1,300,Greece,2013,0.81131
9.5.1,300,Greece,2014,0.8333
9.5.1,300,Greece,2015,0.96121
9.5.1,300,Greece,2016,0.99394
9.5.1,300,Greece,2017,1.13109
9.5.1,300,Greece,2018,1.17732
9.5.1,304,Greenland,2001,0.52741
9.5.1,304,Greenland,2002,0.55628
9.5.1,304,Greenland,2003,0.50804
9.5.1,304,Greenland,2004,0.64608
9.5.1,316,Guam,2003,0.26637
9.5.1,316,Guam,2004,0.25597
9.5.1,316,Guam,2005,0.25707
9.5.1,320,Guatemala,2005,0.035
9.5.1,320,Guatemala,2006,0.0493
9.5.1,320,Guatemala,2007,0.06674
9.5.1,320,Guatemala,2008,0.06188
9.5.1,320,Guatemala,2009,0.0553
9.5.1,320,Guatemala,2010,0.0435
9.5.1,320,Guatemala,2011,0.04814
9.5.1,320,Guatemala,2012,0.04471
9.5.1,320,Guatemala,2013,0.03916
9.5.1,320,Guatemala,2014,0.02949
9.5.1,320,Guatemala,2015,0.03064
9.5.1,320,Guatemala,2016,0.02311
9.5.1,320,Guatemala,2017,0.02957
9.5.1,320,Guatemala,2018,0.02947
9.5.1,340,Honduras,2000,0.04453
9.5.1,340,Honduras,2001,0.03834
9.5.1,340,Honduras,2002,0.04181
9.5.1,340,Honduras,2003,0.04215
9.5.1,340,Honduras,2004,0.04155
9.5.1,340,Honduras,2015,0.01497
9.5.1,340,Honduras,2017,0.03994
9.5.1,344,"China, Hong Kong Special Administrative Region",2000,0.46493
9.5.1,344,"China, Hong Kong Special Administrative Region",2001,0.53645
9.5.1,344,"China, Hong Kong Special Administrative Region",2002,0.58147
9.5.1,344,"China, Hong Kong Special Administrative Region",2003,0.68027
9.5.1,344,"China, Hong Kong Special Administrative Region",2004,0.72176
9.5.1,344,"China, Hong Kong Special Administrative Region",2005,0.77343
9.5.1,344,"China, Hong Kong Special Administrative Region",2006,0.79468
9.5.1,344,"China, Hong Kong Special Administrative Region",2007,0.75161
9.5.1,344,"China, Hong Kong Special Administrative Region",2008,0.71996
9.5.1,344,"China, Hong Kong Special Administrative Region",2009,0.77342
9.5.1,344,"China, Hong Kong Special Administrative Region",2010,0.74946
9.5.1,344,"China, Hong Kong Special Administrative Region",2011,0.72086
9.5.1,344,"China, Hong Kong Special Administrative Region",2012,0.72733
9.5.1,344,"China, Hong Kong Special Administrative Region",2013,0.73017
9.5.1,344,"China, Hong Kong Special Administrative Region",2014,0.74014
9.5.1,344,"China, Hong Kong Special Administrative Region",2015,0.76183
9.5.1,344,"China, Hong Kong Special Administrative Region",2016,0.79155
9.5.1,344,"China, Hong Kong Special Administrative Region",2017,0.8002
9.5.1,344,"China, Hong Kong Special Administrative Region",2018,0.8634
9.5.1,348,Hungary,2000,0.79096
9.5.1,348,Hungary,2001,0.9131
9.5.1,348,Hungary,2002,0.98355
9.5.1,348,Hungary,2003,0.91865
9.5.1,348,Hungary,2004,0.86123
9.5.1,348,Hungary,2005,0.92139
9.5.1,348,Hungary,2006,0.97857
9.5.1,348,Hungary,2007,0.95595
9.5.1,348,Hungary,2008,0.97874
9.5.1,348,Hungary,2009,1.13068
9.5.1,348,Hungary,2010,1.1376
9.5.1,348,Hungary,2011,1.18621
9.5.1,348,Hungary,2012,1.26069
9.5.1,348,Hungary,2013,1.38691
9.5.1,348,Hungary,2014,1.34914
9.5.1,348,Hungary,2015,1.34652
9.5.1,348,Hungary,2016,1.19007
9.5.1,348,Hungary,2017,1.33193
9.5.1,348,Hungary,2018,1.53337
9.5.1,352,Iceland,2000,2.5783
9.5.1,352,Iceland,2001,2.8501
